Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
".Male householder, no spouse present","6,351",174,97,204,240,301,278,340,419,317,311,338,247,283,197,215,218,199,157,160,132,137,127,146,102,84,69,67,57,55,56,57,45,37,30,31,42,21,22,31,12,298,"58,217","1,230","75,817","1,357",0.425,0.0075,"23,523",480
".Female householder, no spouse present","15,303",840,628,923,"1,008","1,047",995,"1,010",894,781,699,739,570,604,458,462,434,347,300,239,238,204,154,148,156,149,132,91,97,83,69,71,63,60,35,43,26,31,39,33,25,376,"41,653",511,"57,309",930,0.469,0.0064,"17,479",297
Nonfamily households,"44,146","2,608","2,212","4,050","3,836","3,195","2,685","2,695","2,390","2,030","1,958","1,917","1,422","1,390","1,095","1,038","1,021",959,776,578,521,644,381,371,314,426,275,269,182,239,163,248,122,144,75,122,115,111,91,146,75,"1,254","36,343",304,"54,562",677,0.508,0.0045,"43,398",544
.Male householder,"20,830","1,181",824,"1,413","1,451","1,344","1,139","1,229","1,169",919,"1,002",986,744,711,552,575,499,525,451,290,248,442,231,206,193,249,155,162,120,143,84,132,67,113,44,59,82,76,66,85,43,828,"42,800",997,"63,280","1,174",0.504,0.0071,"47,646",895
..Living alone,"16,025","1,012",765,"1,311","1,322","1,221",974,"1,063",992,753,779,787,563,494,390,435,337,321,299,181,138,285,112,118,116,101,73,83,63,83,49,79,32,48,20,25,46,42,30,39,21,417,"36,327",441,"52,334","1,034",0.495,0.0071,"52,334","1,034"
.Female householder,"23,316","1,427","1,388","2,636","2,385","1,851","1,546","1,467","1,222","1,111",956,931,679,680,543,463,523,434,325,288,274,202,150,165,121,178,120,107,62,97,80,116,55,32,31,62,33,35,25,61,32,425,"31,156",352,"46,774",692,0.500,0.0053,"39,177",568
..Living alone ,"19,732","1,324","1,321","2,563","2,265","1,711","1,366","1,307","1,055",908,809,799,560,526,405,321,382,318,209,203,179,140,87,107,60,116,72,67,42,48,45,58,22,12,10,39,11,24,10,28,10,198,"27,018",361,"39,868",677,0.486,0.0069,"39,868",677
AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,703","3,151","2,170","3,274","3,271","3,747","3,583","3,957","3,986","3,560","3,599","3,962","3,138","3,406","2,893","3,063","2,999","2,855","2,446","2,193","2,096","2,277","1,744","1,863","1,574","1,692","1,392","1,316","1,165","1,140",976,"1,260",855,924,672,735,733,597,579,584,447,"8,832","69,256",604,"95,137",654,0.474,0.0024,"34,192",227
..15 to 24 years,"6,223",460,265,362,364,467,427,436,396,307,294,302,225,214,178,164,189,142,143,94,67,78,55,44,59,51,43,20,28,37,12,40,31,24,4,18,22,4,6,14,10,125,"38,951",987,"52,720","1,271",0.467,0.0087,"21,159",536
..25 to 34 years,"20,258",668,453,593,598,823,957,"1,102",917,959,890,"1,080",807,861,790,699,652,617,620,479,451,504,361,361,308,376,256,259,215,212,169,205,138,177,94,85,120,122,63,87,65,"1,065","61,239",506,"80,531","1,095",0.442,0.0060,"29,356",445
..35 to 44 years,"21,609",588,312,592,647,706,668,810,854,737,735,822,715,782,588,739,629,733,601,539,544,573,450,540,450,451,364,325,330,323,232,362,243,214,183,181,199,162,132,158,136,"2,260","78,846","1,124","102,671",955,0.448,0.0041,"30,515",304
..45 to 54 years,"22,566",605,393,625,638,746,721,763,878,722,774,851,671,753,637,738,744,670,569,579,546,573,487,496,376,478,357,375,299,318,264,359,224,293,193,232,199,170,161,185,140,"2,766","80,157",810,"106,772","1,135",0.454,0.0037,"36,954",410
..55 to 64 years,"24,047",830,747,"1,102","1,025","1,004",809,845,941,835,905,907,721,796,701,723,785,693,512,502,488,549,390,422,381,337,372,337,293,250,299,293,219,217,198,219,193,139,217,140,95,"2,616","68,897",951,"100,731","1,359",0.508,0.0044,"44,425",622
65 years and over,"32,966","1,221","1,125","2,551","2,776","2,350","2,155","2,143","1,734","1,538","1,392","1,190","1,056","1,006",815,748,767,710,590,560,547,415,437,414,358,299,264,231,258,201,158,229,152,161,113,134,116,133,110,113,61,"1,634","41,297",480,"66,112",915,0.512,0.0054,"36,626",532
..65 to 74 years,"18,958",617,500,"1,188","1,212","1,086","1,132","1,101",879,910,763,753,600,633,525,498,471,474,434,368,375,284,324,285,269,223,188,155,198,141,109,170,122,129,84,85,82,95,83,93,41,"1,281","50,597",828,"77,693","1,375",0.505,0.0068,"40,019",705
..75 years and over,"14,008",604,625,"1,363","1,564","1,264","1,023","1,042",855,628,629,437,456,373,290,250,296,236,155,193,173,131,112,130,89,76,76,77,60,60,49,59,30,33,29,49,34,38,26,21,20,353,"32,628",501,"50,439","1,044",0.495,0.0080,"31,124",676
Mean age of householder,51.47,51.08,54.86,58.11,58.67,55.18,53.75,52.67,52.05,51.56,51.61,49.23,50.27,49.65,49.31,49.12,49.91,49.39,48.24,49.57,49.77,48.34,49.77,49.42,49.12,47.61,49.45,49.54,49.56,48.29,50.06,48.89,49.27,48.92,50.11,51.15,49.34,49.92,52.20,49.48,48.08,50.97,(X),(X),(X),(X),(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"35,757","2,337","2,086","3,874","3,587","2,932","2,340","2,370","2,046","1,661","1,588","1,586","1,124","1,020",795,755,719,639,508,384,318,426,198,226,176,217,145,150,104,131,94,137,54,60,30,65,57,66,40,68,31,616,"31,194",271,"45,455",616,0.495,0.0050,"45,455",616
Two people,"44,057","1,125",630,"1,074","1,412","1,871","1,977","2,053","2,041","1,829","1,759","1,838","1,601","1,721","1,418","1,505","1,499","1,358","1,145","1,054","1,081","1,091",899,943,768,761,625,613,514,445,437,539,417,396,262,323,314,298,268,259,148,"3,748","68,704",711,"94,279",973,0.460,0.0042,"46,434",499
Three people,"19,344",488,280,427,487,559,611,755,699,709,731,726,674,759,636,656,633,627,565,517,457,466,447,442,401,382,339,279,275,281,223,305,171,219,173,166,199,114,142,129,110,"2,080","78,521","1,083","103,671","1,226",0.442,0.0047,"33,253",394
Four people,"16,500",235,170,261,319,403,423,503,481,494,529,539,429,478,495,471,530,569,446,457,441,412,382,393,349,372,328,296,315,305,223,306,222,245,187,193,167,168,155,155,147,"2,503","95,171","1,130","123,272","1,391",0.430,0.0041,"29,886",348
Five people,"7,438",94,81,114,166,199,235,261,260,248,218,282,219,249,216,257,239,239,250,218,207,175,143,141,162,164,124,127,149,113,107,129,85,118,87,77,81,60,50,57,44,991,"87,583","1,236","117,713","2,132",0.443,0.0079,"22,869",431
Six people,"2,852",54,26,38,36,79,95,94,126,90,110,114,92,117,82,100,96,78,73,87,90,77,75,73,48,57,65,46,36,43,42,54,34,33,29,30,20,18,17,22,13,344,"84,910","2,584","111,184","2,842",0.432,0.0103,"18,048",462
Seven people or more,"1,720",37,22,37,40,53,58,64,66,66,56,67,55,68,68,67,48,55,49,36,50,45,36,59,27,38,30,36,30,24,8,18,22,15,17,15,11,6,15,7,15,183,"77,820","3,293","103,569","3,398",0.437,0.0122,"13,117",423
Mean size of household,2.53,1.88,1.73,1.65,1.77,1.98,2.13,2.19,2.28,2.35,2.37,2.41,2.47,2.59,2.65,2.69,2.69,2.76,2.82,2.89,2.93,2.79,2.99,2.99,2.99,3.00,3.09,3.06,3.18,3.13,3.09,3.06,3.13,3.24,3.32,3.17,3.13,2.99,3.14,3.04,3.43,3.21,(X),(X),(X),(X),(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"30,345","3,652","2,322","3,998","3,604","2,649","2,096","1,949","1,460","1,158","1,049",765,656,589,456,475,407,376,267,251,220,166,183,176,103,124,116,90,89,80,51,97,38,54,31,39,47,41,25,18,8,371,"22,969",299,"36,167",478,0.526,0.0040,"22,309",300
One earner,"46,782",668,886,"1,660","2,140","2,961","3,040","3,277","3,118","2,652","2,400","2,788","1,927","2,025","1,589","1,442","1,503","1,351",997,857,742,987,548,615,464,524,371,379,351,306,178,467,227,207,131,155,192,151,127,163,74,"2,144","50,762",234,"71,857",750,0.457,0.0043,"32,988",373
Two earners or more,"50,542",52,87,167,303,487,602,874,"1,142","1,288","1,541","1,598","1,611","1,798","1,665","1,894","1,855","1,838","1,772","1,645","1,682","1,539","1,450","1,487","1,365","1,344","1,169","1,078",983,956,906,925,741,824,621,675,610,538,537,517,426,"7,951","104,336",737,"133,160",952,0.379,0.0030,"39,148",288
..Two earners,"40,210",52,85,154,283,451,532,797,"1,027","1,156","1,371","1,433","1,400","1,595","1,418","1,596","1,534","1,487","1,405","1,311","1,362","1,250","1,172","1,130","1,057","1,064",843,776,726,679,678,681,564,600,443,471,458,420,373,362,310,"5,705","98,541",688,"127,555","1,076",0.387,0.0038,"41,182",373
..Three earners,"7,641",0,2,13,21,30,64,69,103,117,157,144,169,190,201,243,248,287,294,247,228,210,221,263,233,201,257,227,188,222,164,170,110,149,130,142,103,69,106,111,79,"1,459","121,551","1,478","148,282","2,058",0.347,0.0064,"34,882",538
..Four earners or more,"2,691",0,0,0,0,6,6,8,11,16,13,22,42,13,46,54,73,64,73,87,92,79,57,94,75,80,69,75,69,55,64,74,67,75,48,62,49,49,58,43,36,788,"150,203","2,850","173,968","3,240",0.303,0.0076,"31,443",687
Mean number of earners,1.30,0.18,0.33,0.35,0.47,0.66,0.77,0.86,0.99,1.08,1.17,1.23,1.33,1.37,1.44,1.52,1.53,1.57,1.70,1.72,1.76,1.70,1.80,1.85,1.92,1.85,1.94,1.96,1.93,1.98,2.11,1.82,2.00,2.08,2.13,2.13,1.98,2.00,2.17,2.05,2.24,2.10,(X),(X),(X),(X),(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"127,669","4,371","3,295","5,825","6,047","6,097","5,738","6,100","5,720","5,098","4,991","5,152","4,194","4,411","3,709","3,811","3,766","3,565","3,035","2,753","2,644","2,692","2,180","2,278","1,932","1,992","1,656","1,547","1,424","1,342","1,134","1,489","1,006","1,085",784,869,849,730,688,697,508,"10,466","61,136",322,"87,643",570,0.489,0.0022,"34,640",222
Worked,"83,869",615,859,"1,542","2,071","2,892","3,063","3,394","3,584","3,244","3,266","3,686","3,016","3,104","2,725","2,847","2,870","2,699","2,435","2,190","2,134","2,201","1,782","1,852","1,589","1,671","1,359","1,297","1,162","1,130","1,005","1,200",851,924,689,761,716,634,599,634,457,"9,121","78,127",583,"105,710",717,0.439,0.0026,"38,916",262
.Worked at full time jobs,"70,165",249,390,731,"1,306","2,039","2,248","2,661","2,881","2,603","2,723","3,170","2,530","2,618","2,353","2,507","2,446","2,323","2,157","1,951","1,923","1,971","1,594","1,612","1,384","1,501","1,230","1,168","1,024","1,024",898,"1,082",784,838,626,682,657,571,537,553,405,"8,215","83,011",666,"111,046",801,0.423,0.0027,"40,606",300
...50 weeks or more,"61,458",116,124,424,879,"1,604","1,796","2,207","2,446","2,231","2,371","2,814","2,167","2,335","2,026","2,245","2,178","2,059","1,933","1,730","1,786","1,804","1,453","1,455","1,264","1,366","1,113","1,049",934,930,834,"1,012",685,774,570,620,612,522,492,513,368,"7,617","86,577",494,"114,909",858,0.415,0.0029,"41,889",319
...27 to 49 weeks,"5,616",22,74,116,204,254,280,288,279,255,225,240,253,188,206,186,181,185,164,164,107,122,115,107,67,104,76,91,63,71,51,45,65,44,40,59,36,37,35,31,22,464,"67,788","1,493","93,140","1,898",0.443,0.0082,"34,664",784
...26 weeks or less,"3,091",111,192,191,223,182,172,165,156,116,127,116,109,95,121,76,86,79,60,57,30,45,27,51,53,30,41,28,27,23,13,25,34,21,17,3,9,12,10,9,15,134,"46,196","1,348","66,769","2,103",0.495,0.0118,"25,171",860
.Worked at part time jobs,"13,704",365,469,811,765,853,815,733,703,641,543,516,486,486,372,340,424,376,278,238,211,230,188,239,205,171,128,129,138,106,108,117,67,86,64,79,60,63,62,81,52,906,"51,429",934,"78,393","1,465",0.505,0.0061,"29,893",544
...50 weeks or more ,"7,839",67,175,445,433,483,517,418,419,361,322,284,279,278,173,209,241,210,172,147,120,116,110,150,136,108,83,90,84,54,75,80,33,54,43,57,47,36,40,49,35,608,"54,946","1,310","84,882","2,167",0.499,0.0084,"32,243",802
...27 to 49 weeks ,"2,805",55,111,143,158,178,141,176,132,140,98,132,96,121,112,73,91,97,53,47,46,47,40,38,36,31,28,19,37,34,9,23,12,13,18,14,2,12,16,16,8,153,"52,674","1,663","75,165","3,015",0.484,0.0146,"28,651","1,221"
...26 weeks or less ,"3,059",244,183,223,174,192,156,140,152,141,123,100,111,87,88,58,92,68,53,44,44,67,39,52,33,31,17,21,17,18,24,15,22,19,2,8,12,15,6,16,8,144,"42,369","1,634","64,724","2,404",0.530,0.0114,"24,937",918
Did not work,"43,799","3,757","2,436","4,283","3,975","3,205","2,675","2,706","2,136","1,854","1,725","1,465","1,179","1,307",984,964,896,866,601,564,510,491,398,426,342,320,297,250,262,212,129,289,156,161,95,108,133,97,89,63,52,"1,345","32,678",350,"53,046",660,0.538,0.0041,"24,406",312
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","121,446","3,912","3,030","5,463","5,683","5,629","5,311","5,663","5,324","4,791","4,697","4,849","3,969","4,197","3,531","3,647","3,577","3,423","2,892","2,659","2,576","2,614","2,125","2,234","1,873","1,941","1,613","1,527","1,396","1,304","1,122","1,450",975,"1,062",780,850,827,726,683,683,498,"10,340","62,388",367,"89,432",593,0.487,0.0022,"35,320",232
Less than 9th grade,"4,098",258,337,531,412,386,307,294,188,170,154,134,97,136,87,85,74,59,55,35,37,40,32,23,22,22,13,19,6,11,15,7,9,4,3,2,0,5,2,6,1,18,"26,695",612,"38,223",905,0.469,0.0087,"13,224",297
"9th to 12th grade, no diploma","7,471",498,544,813,676,630,538,483,410,355,304,314,211,208,167,175,156,109,118,105,87,79,46,48,38,26,35,27,29,35,20,21,9,6,11,16,15,3,6,12,2,90,"30,353",697,"43,110","1,012",0.483,0.0082,"15,930",360
