Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
.Male householder,"20,542","1,195","1,009","1,489","1,533","1,385","1,089","1,360","1,012",958,891,"1,040",693,787,593,518,486,476,314,338,258,336,211,209,154,192,193,147,104,128,97,131,97,93,65,79,70,39,43,32,28,668,"40,762",453,"58,694",844,0.499,0.0052,"44,345",642
..Living alone,"15,804","1,046",948,"1,403","1,405","1,231",951,"1,170",836,752,693,812,480,582,396,316,344,301,150,212,157,223,115,99,77,112,114,82,30,61,61,90,53,47,25,37,28,22,20,12,16,298,"33,334",738,"48,333",786,0.492,0.0060,"48,333",786
.Female householder,"23,093","1,331","1,655","2,762","2,243","2,143","1,675","1,438","1,286","1,015",952,751,609,636,480,393,412,377,290,281,237,324,158,170,93,164,125,116,63,79,78,72,63,49,64,37,27,28,43,33,40,297,"29,022",500,"43,765",629,0.491,0.0050,"36,740",504
..Living alone ,"19,585","1,230","1,610","2,666","2,136","1,998","1,543","1,285","1,102",873,818,590,454,478,329,267,292,248,169,172,148,204,97,105,57,116,69,67,32,46,42,54,16,27,24,18,14,15,20,5,13,135,"25,406",326,"36,768",531,0.472,0.0056,"36,768",531
AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,820","3,458","2,924","3,483","3,707","4,157","4,027","4,450","3,959","3,869","3,624","3,926","3,230","3,406","2,962","2,981","2,968","2,714","2,426","2,302","2,031","2,326","1,899","1,784","1,439","1,697","1,405","1,228","1,170","1,029",930,"1,157",879,875,666,705,590,574,464,494,359,"6,548","63,344",500,"85,900",455,0.468,0.0023,"31,003",176
..15 to 24 years,"6,361",535,365,396,407,500,474,415,335,333,291,262,270,230,177,176,161,100,130,105,70,78,60,30,27,38,29,38,13,23,27,22,22,21,26,18,14,11,9,5,11,109,"36,108",811,"49,712","1,426",0.485,0.0109,"19,891",582
..25 to 34 years,"20,047",737,478,628,777,956,992,"1,158","1,040",973,856,921,827,840,722,695,626,649,557,497,448,493,345,357,271,294,278,259,208,187,152,198,126,140,108,101,88,85,90,78,42,771,"57,366",681,"74,152",836,0.436,0.0046,"26,579",311
..35 to 44 years,"21,222",580,536,577,724,827,811,939,778,799,818,841,720,748,650,722,719,634,549,507,585,632,468,437,396,474,337,296,273,267,260,295,232,231,133,160,146,124,94,159,92,"1,653","71,417",582,"93,491","1,045",0.454,0.0045,"27,878",332
..45 to 54 years,"23,294",673,659,708,769,807,742,899,935,867,759,964,695,834,747,718,738,734,615,614,467,586,550,471,357,459,407,326,358,310,245,379,310,284,212,237,185,200,141,135,99,"2,101","73,857","1,135","97,862","1,111",0.460,0.0040,"34,091",412
..55 to 64 years,"23,896",933,886,"1,174","1,031","1,067","1,009","1,040",871,897,899,938,719,754,667,669,723,597,575,578,461,538,476,489,388,432,354,310,318,243,245,263,189,199,187,189,157,155,131,117,115,"1,914","62,802",894,"86,986","1,081",0.483,0.0044,"39,330",484
65 years and over,"30,998",777,"1,147","2,842","2,763","2,608","2,195","1,904","1,784","1,335","1,378","1,151",910,961,771,703,682,640,467,548,420,466,334,374,309,290,270,246,210,191,181,156,138,118,95,116,110,104,72,67,72,"1,092","38,515",469,"58,964",683,0.484,0.0033,"32,718",375
..65 to 74 years,"17,551",429,548,"1,280","1,161","1,200","1,125",923,"1,028",701,780,659,564,583,478,453,433,444,309,367,298,358,258,262,224,215,209,166,158,146,148,128,104,84,75,98,91,79,50,54,52,829,"47,432",741,"68,905",981,0.475,0.0045,"35,842",497
..75 years and over,"13,448",348,599,"1,562","1,602","1,409","1,070",981,756,634,598,492,346,378,293,250,250,196,158,182,123,109,75,111,85,75,60,80,52,44,33,29,34,34,21,18,18,25,22,13,20,264,"30,635",459,"45,989",759,0.468,0.0058,"27,954",470
Mean age of householder,51.15,47.95,52.72,58.56,57.28,54.96,53.39,51.86,52.04,50.55,51.19,50.18,48.87,49.46,49.23,48.58,49.35,49.07,48.14,49.67,48.38,48.40,48.88,49.84,49.70,48.87,49.42,49.45,49.83,49.29,49.59,48.36,49.18,48.15,49.03,49.66,49.62,50.22,49.49,48.52,51.35,50.49,(X),(X),(X),(X),(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"35,388","2,276","2,558","4,069","3,541","3,229","2,494","2,455","1,938","1,624","1,511","1,402",934,"1,060",725,583,636,549,319,384,304,427,211,204,134,229,183,149,61,107,102,144,70,74,50,55,42,37,40,18,29,433,"28,800",436,"41,933",467,0.487,0.0044,"41,933",467
Two people,"42,785","1,032",727,"1,266","1,546","1,939","2,208","2,091","1,993","1,898","1,832","1,962","1,650","1,539","1,460","1,454","1,437","1,307","1,263","1,167",932,"1,028",832,875,679,670,632,563,564,410,377,402,338,363,277,326,252,256,179,196,156,"2,706","63,850",707,"84,378",720,0.440,0.0036,"41,571",362
Three people,"19,423",449,389,441,619,768,659,754,777,748,698,669,672,816,671,696,635,568,522,543,496,488,485,458,360,436,321,318,280,228,261,266,241,189,167,161,175,140,101,140,103,"1,519","73,990",930,"96,000","1,075",0.439,0.0051,"30,823",375
Four people,"16,267",274,230,292,375,436,454,585,536,532,533,535,462,499,502,513,570,511,485,455,437,549,422,404,347,419,334,274,273,251,225,314,195,233,160,169,120,162,136,127,70,"1,865","87,739",971,"111,190","1,169",0.428,0.0045,"27,049",295
Five people,"7,548",128,108,156,255,251,264,272,331,241,251,323,259,254,222,273,244,269,183,207,175,202,175,141,153,156,134,100,127,144,98,123,121,87,76,67,71,61,56,39,49,699,"78,622","1,475","101,257","1,487",0.433,0.0061,"19,707",303
Six people,"2,813",53,38,63,80,104,86,128,104,102,93,119,94,113,91,103,75,94,81,56,66,67,78,52,55,46,52,55,51,49,33,55,31,30,22,23,20,13,8,31,18,281,"77,343","2,475","102,366","2,857",0.441,0.0136,"16,572",463
Seven people or more,"1,596",23,22,36,55,39,56,70,65,58,84,68,70,85,61,62,53,57,39,37,41,31,29,24,20,32,18,15,24,31,15,11,22,15,9,22,20,9,17,11,6,138,"70,514","2,200","96,066","3,928",0.433,0.0165,"11,943",510
Mean size of household,2.53,1.90,1.76,1.68,1.91,2.00,2.12,2.22,2.35,2.36,2.42,2.47,2.60,2.63,2.67,2.81,2.75,2.84,2.88,2.82,2.94,2.85,3.04,2.93,3.09,3.02,2.98,2.99,3.16,3.28,3.09,3.14,3.22,3.14,3.15,3.13,3.23,3.17,3.29,3.29,3.17,3.25,(X),(X),(X),(X),(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"29,694","3,428","2,788","4,212","3,503","2,950","2,244","1,777","1,509","1,052",924,778,544,569,470,319,332,303,201,238,172,132,130,123,106,66,83,84,65,71,67,32,50,45,25,16,26,32,24,14,8,182,"21,519",249,"31,633",339,0.498,0.0037,"19,553",217
One earner,"46,356",752,"1,154","1,900","2,576","3,253","3,249","3,514","2,989","2,749","2,546","2,481","1,791","1,933","1,410","1,371","1,383","1,151",865,896,666,988,538,554,382,586,434,340,295,226,176,416,196,200,143,163,122,125,81,83,59,"1,619","46,763",322,"65,209",595,0.448,0.0039,"29,714",293
